student_id,immigrant,female,minority,distance_band,ses_father,ses_mother,avg_kttx_h1,abs_phep_h1,abs_nophep_h1,diem_giua_ky,abs_phep_h2,abs_nophep_h2,delta_phep_h2,delta_nophep_h2,kttx3,kttx4,diem_cuoi_ky,tb_hoc_ky,y
MK2_0033,0,1,0,0,3,1,4.0,1,0,5.5,6,1,5,1,6.5,5.0,4.4,4.9,0
MK2_0034,0,0,0,0,1,1,4.3,0,0,2.3,0,0,0,0,3.3,5.0,4.7,4.0,0
MK2_0035,0,0,0,0,0,1,3.4,0,0,4.8,0,0,0,0,5.8,3.5,4.5,4.4,0
MK2_0036,0,0,0,1,2,2,3.65,2,1,1.5,3,1,1,0,4.5,3.5,0.8,2.3,0
MK2_0037,0,1,0,0,2,3,8.15,0,0,8.8,0,0,0,0,9.8,6.8,7.7,8.2,1
MK2_0038,1,1,0,0,1,1,7.55,0,0,8.5,0,0,0,0,8.3,5.5,6.8,7.4,1
MK2_0039,0,1,0,0,2,3,5.15,0,0,5.3,0,0,0,0,5.3,5.0,5.5,5.3,1
MK2_0040,0,1,0,1,0,1,4.65,0,0,8.4,0,0,0,0,7.0,5.6,4.2,9.4,1
MK2_0041,1,0,1,1,2,1,6.5,0,0,8.4,1,0,1,0,6.0,3.3,4.3,7.4,1
MK2_0042,0,0,0,1,2,1,5.85,0,0,3.3,2,0,2,0,6.0,5.3,3.0,3.4,0
MK2_0043,0,1,0,1,1,1,4.65,0,0,3.6,5,0,5,0,3.7,8.4,7.3,5.5,1
MK2_0044,0,1,0,1,2,1,6.9,0,0,8.8,0,0,0,0,5.9,3.9,5.6,8.0,1
MK2_0045,0,0,0,0,0,3,7.85,0,0,3.6,0,0,0,0,7.0,8.6,9.3,2.6,0
MK2_0046,0,1,0,1,2,2,7.5,1,0,6.0,2,0,1,0,6.0,5.4,6.3,4.5,0
MK2_0047,0,1,0,0,1,1,5.8,0,0,3.1,0,0,0,0,7.0,5.1,6.1,2.3,0
MK2_0048,0,0,0,1,1,1,5.8,1,0,3.6,2,0,1,0,5.6,2.0,6.3,9.4,1
MK2_0049,0,0,0,0,2,1,4.65,0,0,8.5,1,0,1,0,6.0,5.4,1.4,4.5,0
